order_id,customer_id,order_date,status
1,1,2025-03-01,delivered
2,2,2025-03-02,pending
3,3,2025-03-03,delivered
4,4,2025-03-04,cancelled
5,5,2025-03-05,delivered
6,6,2025-03-06,pending
7,7,2025-03-07,delivered
8,8,2025-03-08,delivered
9,9,2025-03-09,cancelled
10,10,2025-03-10,delivered
11,11,2025-03-11,pending
12,12,2025-03-12,delivered
13,13,2025-03-13,delivered
14,14,2025-03-14,pending
15,15,2025-03-15,delivered
16,16,2025-03-16,cancelled
17,17,2025-03-17,delivered
18,18,2025-03-18,pending
19,19,2025-03-19,delivered
20,20,2025-03-20,delivered
